"Site","N","dN15","sampleDate"
"42","0.51",3.07,"May2016"
"43","0.48",3.21,"May2016"
"44","0.48",3.7,"May2016"
"45","0.63",4.23,"May2016"
"46","0.61",3.8,"May2016"
"47","0.56",3.48,"May2016"
"48","0.49",3.44,"May2016"
"50","0.54",3.87,"May2016"
"51","0.71",4.28,"May2016"
"52","0.66",4.24,"May2016"
"53","0.61",4.13,"May2016"
"54","0.57",4.22,"May2016"
"55","0.59",4.15,"May2016"
"56","0.46",3.52,"May2016"
"57","0.53",3.89,"May2016"
"58","0.43",2.7,"May2016"
"59","0.49",2.22,"May2016"
"60","0.6",3.32,"May2016"
"61","0.52",2.9,"May2016"
"62","0.54",2.33,"May2016"
"63","0.45",2.47,"May2016"
"64","0.51",2.47,"May2016"
"65","0.52",2.91,"May2016"
"66","0.55",3.76,"May2016"
"67","0.66",4.99,"May2016"
"68","0.63",3.88,"May2016"
"69","0.6",4.34,"May2016"
"70","0.51",3.8,"May2016"
"71","0.47",3.03,"May2016"
"72","0.56",3.43,"May2016"
"73","0.46",3.24,"May2016"
"74","0.44",3.15,"May2016"
"75","0.54",3.7,"May2016"
"76","0.42",3.72,"May2016"
"77","0.46",2.86,"May2016"
"78","0.41",3.15,"May2016"
"80","0.59",3.36,"May2016"
"81","0.59",3.23,"May2016"
"82","0.52",3.61,"May2016"
"83","0.62",3.35,"May2016"
"84","0.6",3.85,"May2016"
"86","0.52",3.31,"May2016"
"87","0.55",3.78,"May2016"
"88","0.61",3.02,"May2016"
"89","0.58",3.54,"May2016"
"90","0.49",3.45,"May2016"
"91","0.54",3.86,"May2016"
"92","0.45",3.83,"May2016"
"93","0.57",3.92,"May2016"
"94","0.38",3.54,"May2016"
"95","0.43",4.13,"May2016"
"96","0.63",3.93,"May2016"
"97","0.52",3.75,"May2016"
"98","0.52",3.57,"May2016"
"99","0.49",2.91,"May2016"
"100","0.52",4.16,"May2016"
"101","0.51",4.09,"May2016"
"102","0.43",3.76,"May2016"
"103","0.47",3.71,"May2016"
"104","0.39",3.24,"May2016"
"105","0.4",3.97,"May2016"
"106","0.37",3.68,"May2016"
"107","0.47",3.4,"May2016"
"108","0.46",3.57,"May2016"
"109","0.42",3.02,"May2016"
"111","0.41",2.99,"May2016"
"112","0.47",2.91,"May2016"
"113","0.49",2.59,"May2016"
"114","0.4",2.45,"May2016"
"115","0.44",2.57,"May2016"
"116","0.56",3.02,"May2016"
"117","0.44",2.66,"May2016"
"118","0.48",2.67,"May2016"
"119","0.48",2.83,"May2016"
"120","0.52",3.42,"May2016"
"121","0.43",2.8,"May2016"
"122","0.46",2.97,"May2016"
"123","0.48",3.16,"May2016"
"124","0.45",3.35,"May2016"
"125","0.45",2.28,"May2016"
"126","0.53",2.71,"May2016"
"127","0.45",3.23,"May2016"
"128","0.42",2.43,"May2016"
"129","0.54",3.58,"May2016"
"130","0.53",3.57,"May2016"
"131","0.61",4.16,"May2016"
"132","0.6",4.17,"May2016"
"133","0.45",2.46,"May2016"
"134","0.4",2.84,"May2016"
"136","0.44",3.67,"May2016"
"139","0.69",4.22,"May2016"
"140","0.59",4.52,"May2016"
"141","0.66",4.88,"May2016"
"142","0.58",4.12,"May2016"
"143","0.58",4.21,"May2016"
"144","0.57",3.89,"May2016"
"145","0.55",4.06,"May2016"
"146","0.47",3.73,"May2016"
"147","0.53",4.12,"May2016"
"148","0.55",4,"May2016"
"149","0.56",4.09,"May2016"
"150","0.55",4.17,"May2016"
"151","0.54",3.91,"May2016"
"152","0.5",3.92,"May2016"
"153","0.59",3.88,"May2016"
"155","0.61",3.95,"May2016"
"156","0.6",4.12,"May2016"
"157","0.65",4.01,"May2016"
"158","0.55",4.72,"May2016"
"159","0.72",4.73,"May2016"
"160","0.49",2.24,"May2016"
"161","0.48",2.95,"May2016"
"162","0.48",3.4,"May2016"
"163","0.43",3.86,"May2016"
"164","0.52",3.02,"May2016"
"165","0.49",3.32,"May2016"
"166","0.51",3.72,"May2016"
"167","0.43",3.33,"May2016"
"168","0.46",3.48,"May2016"
"169","0.5",3.79,"May2016"
"170","0.51",3.67,"May2016"
"171","0.53",3.35,"May2016"
"172","0.55",4.31,"May2016"
"173","0.62",3.99,"May2016"
"175","0.54",4.39,"May2016"
"176","0.54",4.07,"May2016"
"177","0.54",4.04,"May2016"
"178","0.6",4.75,"May2016"
"179","0.64",4.23,"May2016"
"181","0.63",4.3,"May2016"
"182","0.39",4.56,"May2016"
"183","0.5",3.74,"May2016"
"184","0.52",4.2,"May2016"
"185","0.53",3.53,"May2016"
"186","0.64",4.43,"May2016"
"187","0.59",3.96,"May2016"
