Sample_ID,Site_Number,Lat,Lon,Date,Samplers,Weight_ug,Percent_C,Percent_H,Percent_N,C_to_N_ratio
41,41,-17.57019438,-149.7873946,8/26/2020,DB_BVT,2730,31.43%,4.70%,0.42%,74.58
42,42,-17.56927254,-149.7896573,8/26/2020,DB_BVT,2212,30.33%,4.23%,0.47%,65.04
43,43,-17.56248479,-149.7830339,8/26/2020,DB_BVT,2929,30.40%,4.49%,0.52%,58.55
44,44,-17.56150126,-149.7854925,8/26/2020,DB_BVT,2727,31.33%,4.65%,0.44%,71.00
45,45,-17.56024699,-149.7891006,8/26/2020,DB_BVT,2932,26.81%,3.74%,0.54%,49.95
46,46,-17.55798848,-149.7809429,8/26/2020,DB_BVT,2079,27.16%,3.76%,0.71%,38.12
47,47,-17.59313297,-149.8546619,9/2/2020,DB_and_RVT,2294,31.68%,4.74%,0.51%,61.75
50,50,-17.601,-149.80085,8/26/2020,DB_BVT,2451,32.76%,4.92%,0.49%,67.46
51,51,-17.55479179,-149.7891155,8/26/2020,DB_BVT,2807,27.73%,3.80%,0.74%,37.49
52,52,-17.54829758,-149.780663,8/26/2020,TA_and_KS,2338,27.42%,3.77%,0.67%,41.08
53,53,-17.54553717,-149.7782538,8/26/2020,TA_and_KS,2136,28.24%,3.91%,0.59%,47.51
54,54,-17.54048841,-149.773951,8/26/2020,TA_and_KS,2855,29.57%,4.22%,0.55%,53.65
56,56,-17.54065563,-149.7703816,8/26/2020,TA_and_KS,2190,30.20%,4.40%,0.48%,63.31
57,57,-17.54170898,-149.7665665,8/26/2020,TA_and_KS,2485,30.66%,4.55%,0.55%,55.40
58,58,-17.54808988,-149.7732428,8/26/2020,TA_and_KS,2896,30.06%,4.38%,0.52%,57.75
59,59,-17.54354672,-149.7706065,8/26/2020,TA_and_KS,2166,29.41%,4.25%,0.51%,58.04
60,60,-17.55227462,-149.7773983,8/26/2020,TA_and_KS,2147,29.87%,4.27%,0.54%,55.10
61,61,-17.5352866,-149.7726642,8/26/2020,TA_and_KS,2529,29.82%,4.26%,0.53%,56.18
62,62,-17.53598314,-149.7679931,8/26/2020,TA_and_KS,2287,28.59%,4.03%,0.48%,59.14
63,63,-17.53573436,-149.7629378,8/26/2020,TA_and_KS,2266,29.43%,4.23%,0.45%,64.97
64,64,-17.52938876,-149.7673331,8/26/2020,TA_and_KS,2466,27.60%,3.91%,0.44%,63.07
65,65,-17.52484376,-149.7649524,8/26/2020,TA_and_KS,2866,26.40%,3.65%,0.56%,46.75
66,66,-17.52840162,-149.773503,8/26/2020,TA_and_KS,2470,27.49%,3.71%,0.59%,46.49
67,67,-17.5226684,-149.7793687,8/26/2020,TA_and_KS,2187,26.33%,3.54%,0.65%,40.52
68,68,-17.52006574,-149.7738316,8/26/2020,TA_and_KS,2736,26.23%,3.56%,0.69%,38.14
69,69,-17.51597897,-149.7687791,8/26/2020,TA_and_KS,2462,27.52%,3.68%,0.62%,44.71
70,70,-17.51029755,-149.7665881,8/26/2020,TA_and_KS,2054,28.66%,3.88%,0.62%,45.99
71,71,-17.51072251,-149.7630267,8/26/2020,TA_and_KS,2507,29.18%,4.08%,0.58%,50.45
72,72,-17.52172509,-149.7643641,8/26/2020,TA_and_KS,2412,28.51%,3.95%,0.60%,47.85
73,73,-17.51638885,-149.7642064,8/26/2020,TA_and_KS,2439,32.52%,4.81%,0.50%,64.60
74,74,-17.50532775,-149.7609331,8/27/2020,AB_RH,2361,29.56%,4.20%,0.54%,55.07
75,75,-17.50326782,-149.7645343,8/26/2020,TA_and_KS,2866,28.41%,3.91%,0.57%,49.85
76,76,-17.50094125,-149.7627215,8/27/2020,AB_RH,2267,30.99%,4.58%,0.33%,94.36
77,77,-17.50258469,-149.7597522,8/27/2020,AB_RH,2107,30.64%,4.37%,0.53%,57.47
78,78,-17.50024941,-149.7576461,8/27/2020,AB_RH,2442,29.64%,4.23%,0.53%,55.97
80,80,-17.56380737,-149.8743451,9/2/2020,KS_HE,2046,29.97%,4.18%,0.68%,44.28
81,81,-17.56509583,-149.8775593,9/2/2020,KS_HE,2253,27.76%,3.72%,0.64%,43.53
82,82,-17.56890935,-149.8785377,9/2/2020,KS_HE,2033,29.37%,4.06%,0.57%,51.35
83,83,-17.56706047,-149.8830503,9/2/2020,KS_HE,2046,30.89%,4.43%,0.53%,58.29
84,84,-17.56043784,-149.8865255,9/2/2020,KS_HE,2346,31.23%,4.45%,0.62%,50.53
85,85,-17.56350797,-149.8812157,9/2/2020,KS_HE,2907,28.40%,3.94%,0.56%,50.96
86,86,-17.55850204,-149.8826298,9/2/2020,KS_HE,2084,29.01%,3.88%,0.57%,51.31
87,87,-17.55897637,-149.8788434,9/2/2020,KS_HE,2352,26.02%,3.46%,0.61%,42.89
88,88,-17.56132901,-149.8766332,9/2/2020,KS_HE,2062,29.90%,4.13%,0.61%,49.05
89,89,-17.55473723,-149.8855922,9/2/2020,KS_HE,2040,27.71%,3.58%,0.68%,40.73
90,90,-17.55573928,-149.8879232,9/2/2020,KS_HE,2361,28.59%,3.94%,0.61%,46.87
91,91,-17.55741642,-149.8905109,9/2/2020,KS_HE,2925,31.42%,4.49%,0.51%,62.13
92,92,-17.55032935,-149.897047,9/2/2020,KS_HE,2392,30.07%,4.13%,0.68%,44.31
93,93,-17.5463777,-149.8911702,9/2/2020,KS_HE,2311,29.24%,4.06%,0.62%,46.92
94,94,-17.54780925,-149.8949618,9/2/2020,KS_HE,2716,32.62%,4.84%,0.48%,67.68
95,95,-17.54493568,-149.9022286,9/4/2020,TA_and_KK,2716,32.51%,4.76%,0.53%,61.87
97,97,-17.54097733,-149.9067632,9/4/2020,TA_and_KK,2540,30.43%,4.29%,0.63%,48.00
98,98,-17.54181552,-149.8985127,9/4/2020,TA_and_KK,2256,27.58%,3.75%,0.62%,44.41
100,100,-17.53432151,-149.9101318,9/4/2020,TA_and_KK,2322,28.36%,3.85%,0.60%,47.46
101,101,-17.53755852,-149.9121106,9/4/2020,TA_and_KK,2662,29.64%,4.13%,0.55%,54.31
102,102,-17.5292844,-149.9181631,9/4/2020,AB_GB,2093,27.44%,3.70%,0.67%,41.00
103,103,-17.52734936,-149.9140272,9/4/2020,AB_GB,2818,30.49%,4.36%,0.48%,63.72
104,104,-17.52568094,-149.9107429,9/4/2020,AB_GB,2772,28.40%,3.88%,0.53%,53.41
105,105,-17.52007479,-149.9206248,9/4/2020,AB_GB,2779,30.28%,4.42%,0.56%,54.22
106,106,-17.51944682,-149.9170567,9/4/2020,AB_GB,2377,28.22%,3.96%,0.61%,46.33
107,107,-17.51885715,-149.9132726,9/4/2020,AB_GB,2977,28.45%,3.99%,0.52%,54.58
110,110,-17.51055999,-149.9159157,8/22/2020,DB_BVT_HE,2534,28.98%,4.09%,0.53%,54.66
111,111,-17.50318299,-149.9240371,8/22/2020,DB_BVT_HE,2948,30.80%,4.52%,0.54%,57.07
112,112,-17.50348139,-149.920637,8/22/2020,DB_BVT_HE,2625,30.13%,4.36%,0.52%,58.30
113,113,-17.50287202,-149.91747,8/22/2020,DB_BVT_HE,2711,28.56%,3.94%,0.56%,50.74
114,114,-17.4954558,-149.9235728,8/22/2020,DB_BVT_HE,2460,29.70%,4.25%,0.61%,48.72
115,115,-17.49504173,-149.9197109,8/22/2020,DB_BVT_HE,2946,30.43%,4.51%,0.54%,56.81
116,116,-17.49474971,-149.9146039,8/22/2020,DB_BVT_HE,2666,28.76%,4.09%,0.51%,55.98
117,117,-17.49064844,-149.9111011,8/22/2020,DB_BVT_HE,2635,26.63%,3.66%,0.49%,53.81
118,118,-17.48914783,-149.9067514,8/22/2020,DB_BVT_HE,2360,28.11%,3.91%,0.56%,49.86
119,119,-17.48591677,-149.9077934,8/22/2020,DB_BVT_HE,2041,29.27%,4.10%,0.50%,58.72
120,120,-17.48790848,-149.9022525,8/22/2020,DB_BVT_HE,2400,28.47%,3.94%,0.57%,49.88
121,121,-17.48853084,-149.8968575,8/22/2020,DB_BVT_HE,2227,29.74%,4.24%,0.63%,47.02
122,122,-17.48485495,-149.8962351,8/22/2020,DB_BVT_HE,2633,29.49%,3.98%,0.52%,56.32
123,123,-17.48842556,-149.8921487,8/22/2020,DB_BVT_HE,2434,30.78%,4.55%,0.52%,59.55
124,124,-17.48469737,-149.8922813,9/7/2020,TA_and_KS,2742,30.71%,4.39%,0.45%,67.65
125,125,-17.49019641,-149.8826645,8/30/2020,TA_and_KS,2576,29.34%,4.21%,0.57%,51.34
126,126,-17.49179923,-149.8794897,8/30/2020,TA_and_KS,2596,29.47%,4.21%,0.44%,66.48
127,127,-17.4889724,-149.8789846,8/22/2020,DB_BVT_HE,2197,29.59%,4.07%,0.55%,53.96
128,128,-17.48683493,-149.8765044,8/22/2020,DB_BVT_HE,2599,29.47%,4.09%,0.56%,52.51
129,129,-17.48972761,-149.8726504,8/22/2020,DB_BVT_HE,2287,28.80%,3.94%,0.51%,56.58
130,130,-17.48467089,-149.8742172,9/8/2020,TA_and_JG,2585,29.75%,4.19%,0.52%,56.89
131,131,-17.48809573,-149.8667564,9/8/2020,TA_and_JG,2418,30.87%,4.28%,0.65%,47.66
132,132,-17.48744111,-149.8709693,9/8/2020,TA_and_JG,2751,28.56%,4.01%,0.46%,61.80
133,133,-17.49028584,-149.8868992,8/30/2020,TA_and_KS,2132,29.61%,4.06%,0.59%,50.18
134,134,-17.48732954,-149.8870074,8/22/2020,DB_BVT_HE,2915,30.44%,4.31%,0.54%,56.18
135,135,-17.48452814,-149.8861285,9/7/2020,TA_and_KS,2666,31.56%,4.68%,0.46%,68.33
136,136,-17.48690316,-149.8805744,8/22/2020,DB_BVT_HE,2349,29.09%,3.97%,0.51%,56.74
137,137,-17.48379691,-149.8798111,9/7/2020,TA_and_KS,2844,30.54%,4.31%,0.52%,59.01
138,138,-17.49209605,-149.8746473,9/8/2020,TA_and_JG,2450,30.50%,4.39%,0.39%,78.09
139,139,-17.49065096,-149.8681188,8/22/2020,DB_BVT_HE,2797,29.18%,4.04%,0.61%,47.61
140,140,-17.49716361,-149.8626436,8/30/2020,TA_and_KS,2780,28.85%,4.09%,0.50%,57.47
141,141,-17.49316067,-149.8673732,8/22/2020,DB_BVT_HE,2561,26.41%,3.52%,0.74%,35.58
142,142,-17.49376006,-149.8519205,8/30/2020,TA_and_KS,2637,29.32%,4.03%,0.50%,58.77
143,143,-17.49082932,-149.8544175,8/30/2020,TA_and_KS,2353,29.93%,4.27%,0.59%,50.96
144,144,-17.48895002,-149.8550006,8/30/2020,TA_and_KS,2798,30.37%,4.31%,0.46%,66.60
145,145,-17.48967,-149.84942,,,2721,30.35%,4.36%,0.46%,66.10
146,146,-17.48545652,-149.8469882,8/22/2020,TA_and_KS,2643,29.04%,4.04%,0.55%,52.51
147,147,-17.48168911,-149.8498651,8/22/2020,TA_and_KS,2796,30.36%,4.29%,0.54%,56.03
148,148,-17.48386731,-149.8490207,8/22/2020,TA_and_KS,2803,29.57%,4.13%,0.58%,50.71
149,149,-17.48650493,-149.8520296,9/8/2020,TA_and_JG,2002,31.21%,4.42%,0.40%,77.08
150,150,-17.48430225,-149.8420147,8/22/2020,TA_and_KS,2487,29.93%,4.24%,0.51%,58.96
151,151,-17.47821942,-149.8423604,8/22/2020,TA_and_KS,2228,30.25%,4.16%,0.52%,58.30
152,152,-17.48009529,-149.8422762,8/22/2020,TA_and_KS,2570,28.92%,3.90%,0.55%,52.75
153,153,-17.4784169,-149.8339808,8/22/2020,TA_and_KS,2684,29.90%,4.12%,0.60%,49.51
154,154,-17.4797321,-149.8365316,8/22/2020,TA_and_KS,2279,29.10%,4.00%,0.47%,62.51
155,155,-17.48486702,-149.8347928,8/22/2020,TA_and_KS,2239,27.53%,3.81%,0.56%,48.93
156,156,-17.48502921,-149.8312727,8/22/2020,TA_and_KS,2907,27.91%,3.86%,0.56%,49.74
158,158,-17.48467013,-149.8275155,8/22/2020,TA_and_KS,2422,30.20%,4.41%,0.43%,70.71
159,159,-17.48655573,-149.8250571,8/22/2020,TA_and_KS,2597,29.42%,4.09%,0.61%,48.01
160,160,-17.48204526,-149.8262099,8/22/2020,TA_and_KS,2430,29.45%,4.18%,0.57%,51.39
161,161,-17.47370895,-149.7768527,9/7/2020,TA_and_KS,2191,30.50%,4.35%,0.50%,60.71
162,162,-17.47599625,-149.780356,8/31/2020,RS_and_SH,2223,28.46%,3.98%,0.49%,58.18
163,163,-17.47785238,-149.7866539,8/31/2020,RS_and_SH,2171,29.82%,4.24%,0.60%,49.81
164,164,-17.47880909,-149.790986,9/7/2020,TA_and_KS,2841,27.60%,3.75%,0.58%,47.30
165,165,-17.4796057,-149.7961288,8/31/2020,RS_and_SH,2077,27.22%,3.66%,0.66%,40.99
166,166,-17.47499012,-149.7867232,8/31/2020,RS_and_SH,2343,29.94%,4.15%,0.67%,44.82
167,167,-17.47282634,-149.7810294,9/7/2020,TA_and_KS,2268,27.31%,3.69%,0.71%,38.29
168,168,-17.47187021,-149.786553,9/7/2020,TA_and_KS,2858,30.70%,4.52%,0.33%,91.88
169,169,-17.47434254,-149.7937432,9/7/2020,TA_and_KS,2329,30.45%,4.31%,0.54%,56.89
170,170,-17.47682031,-149.7950122,8/31/2020,RS_and_SH,2414,29.48%,4.12%,0.59%,49.69
171,171,-17.47496934,-149.7901163,8/31/2020,RS_and_SH,2083,28.43%,3.74%,0.53%,53.91
172,172,-17.4804404,-149.799661,8/31/2020,RS_and_SH,2614,27.14%,3.67%,0.63%,43.24
173,173,-17.4760501,-149.7973693,8/31/2020,RS_and_SH,2579,29.21%,4.01%,0.55%,52.70
175,175,-17.48082167,-149.8048369,8/31/2020,RS_and_SH,2860,27.26%,3.65%,0.55%,49.93
176,176,-17.48256359,-149.8138506,8/31/2020,RS_and_SH,2645,29.14%,4.03%,0.59%,49.36
177,177,-17.48383638,-149.8168138,8/31/2020,RS_and_SH,2637,27.51%,3.71%,0.48%,57.09
178,178,-17.48728956,-149.8183929,8/31/2020,RS_and_SH,2725,28.86%,4.04%,0.43%,66.77
179,179,-17.48120195,-149.8175988,8/31/2020,RS_and_SH,2806,29.74%,4.21%,0.45%,65.69
180,180,-17.47707864,-149.8212362,9/7/2020,TA_and_KS,2816,29.99%,4.33%,0.43%,69.36
181,181,-17.47477999,-149.8148865,9/7/2020,TA_and_KS,2128,31.07%,4.49%,0.38%,81.91
182,182,-17.47831405,-149.8135389,9/7/2020,TA_and_KS,2274,30.73%,4.31%,0.42%,72.34
183,183,-17.48034675,-149.8136512,8/31/2020,RS_and_SH,2154,29.79%,4.12%,0.47%,63.81
184,184,-17.47487,-149.8077,,,2387,28.01%,3.88%,0.47%,60.16
185,185,-17.47691201,-149.8066267,9/7/2020,TA_and_KS,2896,28.08%,3.84%,0.59%,47.27
186,186,-17.47711502,-149.8025034,8/31/2020,RS_and_SH,2801,28.98%,3.99%,0.53%,54.77
187,187,-17.47899399,-149.8063396,8/31/2020,RS_and_SH,2914,29.78%,4.14%,0.53%,56.52
188,188,-17.47806804,-149.8172428,9/7/2020,TA_and_KS,2846,29.07%,4.00%,0.41%,70.69
200,200,-17.490438,-149.891764,8/22/2020,DB_BVT_HE,2669,28.46%,3.93%,0.53%,54.10
201,201,-17.58183,-149.78965,8/26/2020,DB_BVT,2657,29.52%,4.11%,0.46%,64.17
202,202,-17.58791,-149.80488,8/26/2020,DB_BVT,2182,28.80%,4.00%,0.43%,67.12
203,203,-17.506374,-149.917159,8/22/2020,DB_BVT_HE,2661,27.96%,3.86%,0.49%,56.65
205,205,-17.550942,-149.787945,8/26/2020,TA_and_KS,2327,26.49%,3.46%,0.84%,31.39
206,206,-17.565944,-149.792587,8/26/2020,DB_BVT,2759,27.37%,3.69%,0.59%,46.10
207,207,-17.572476,-149.795439,8/26/2020,DB_BVT,2883,28.46%,3.79%,0.68%,42.07
208,208,-17.550152,-149.884951,9/2/2020,KS_HE,2995,25.61%,3.45%,0.58%,44.02
209,209,-17.552798,-149.883065,9/2/2020,KS_HE,2431,28.30%,3.87%,0.54%,52.40
295,295,,,,,2238,26.35%,3.49%,0.63%,41.62
OPU 1,Opu_1,-17.50843442,-149.8525883,8/30/2020,TA_and_KS,2662,28.58%,3.75%,0.56%,50.88
COOK 1,Cooks_1,-17.49718255,-149.8180483,9/7/2020,TA_and_KS,2864,29.11%,4.11%,0.44%,65.43
LTER 6,LTER_6_Fringe,-17.515533,-149.914517,9/4/2020,AB_GB,2819,28.74%,4.04%,0.43%,67.01
LTER 3 Back,LTER_3_Backreef,-17.5138,-149.76415,8/27/2020,AB_RH,2929,30.38%,4.33%,0.51%,58.99
OPU 2,Opu_2,-17.50653919,-149.8576045,8/30/2020,TA_and_KS,2499,27.25%,3.62%,0.53%,51.85
LTER 3 Fringe,LTER_3_Fringe,-17.51305,-149.766883,8/27/2020,AB_RH,2511,27.51%,3.64%,0.50%,54.81
96_8_22_2020,96,-17.53815631,-149.9044886,8/22/2020,TA_and_KS,2600,29.14%,4.10%,0.54%,53.88
96_9_02_2020,96,-17.53815631,-149.9044886,9/4/2020,TA_and_KK,2262,29.41%,4.15%,0.53%,55.71
99_9_2_2020,99,-17.53413,-149.905488,8/22/2020,DB_BVT_HE,2464,28.95%,4.04%,0.65%,44.44
99_8_22_2020,99,-17.53413,-149.905488,9/4/2020,TA_and_KK,2769,29.17%,4.14%,0.51%,56.90
